,time,speed,wind,x,y,
212,106.0,0.114132480552,0.0,246.766110389,99.1027054968,
213,106.5,0.114706163592,0.0,246.825330981,99.0965257441,
214,107.0,0.115393070675,0.0,246.882464607,99.0898631804,
215,107.5,0.115507889941,0.0,246.937483223,99.0831322398,
216,108.0,0.115598710603,0.0,246.994747947,99.0763392311,
217,108.5,0.115204338901,0.0,247.054101152,99.0696369157,
218,109.0,0.114321336641,0.0,247.111090068,99.0633388464,
219,109.5,0.114520762788,0.0,247.168200801,99.0568501406,
220,110.0,0.11459467569,0.0,247.220862141,99.0503056705,
221,110.5,0.115428014391,0.0,247.280751177,99.0429406222,
222,111.0,0.116504922645,0.0,247.338452314,99.0355759768,
223,111.5,0.116130573351,0.0,247.398470703,99.0287373133,
224,112.0,0.116528307736,0.0,247.451568674,99.0223440671,
225,112.5,0.117170477399,0.0,247.511786921,99.0141864353,
226,113.0,0.118384946692,0.0,247.569826233,99.0059930652,
227,113.5,0.117887237002,0.0,247.630129259,98.998355087,
228,114.0,0.115933590297,0.0,247.687776314,98.9914923984,
229,114.5,0.116502237056,0.0,247.745492202,98.9839557523,
230,115.0,0.115775599251,0.0,247.801135573,98.9759735231,
231,115.5,0.115909530487,0.0,247.861504408,98.9675809165,
232,116.0,0.116953882891,0.0,247.919376628,98.9600515672,
233,116.5,0.117200065269,0.0,247.972815114,98.9533373025,
234,117.0,0.117083995748,0.0,248.033382814,98.9446073496,
235,117.5,0.118837045472,0.0,248.091871526,98.9363897687,
236,118.0,0.119398619222,0.0,248.152892392,98.927439089,
237,118.5,0.118303767239,0.0,248.206751939,98.9191906104,
238,119.0,0.118152042441,0.0,248.267366288,98.9101050964,
239,119.5,0.117614400635,0.0,248.325651202,98.9020987503,
240,120.0,0.117771519668,0.0,248.386651974,98.8934541414,
241,120.5,0.119383956657,0.0,248.445789988,98.8839380743,
242,121.0,0.118186347601,0.0,248.501936886,98.8745857457,
243,121.5,0.116458583626,0.0,248.559852855,98.8664657102,
244,122.0,0.120066443996,0.0,248.620589058,98.8577008972,
